song_id,baseline_cer,finetuned_cer,improvement
forever_young,0.34545454545454546,0.30454545454545456,0.040909090909090895
一生守候,0.08123791102514506,0.02321083172147002,0.05802707930367504
一瞬间,0.23809523809523808,0.18095238095238095,0.057142857142857134
一荤一素,0.17209302325581396,0.14186046511627906,0.030232558139534904
一路向北,0.20408163265306123,0.20408163265306123,0.0
你以为,0.16944444444444445,0.13055555555555556,0.03888888888888889
你把我灌醉,0.21428571428571427,0.12433862433862433,0.08994708994708994
修炼爱情,0.11156741957563313,0.09924709103353867,0.012320328542094458
傲寒,0.16783216783216784,0.1346153846153846,0.03321678321678323
写给黄淮,0.10382513661202186,0.11475409836065574,-0.010928961748633878
匆匆那年,0.21617852161785217,0.15690376569037656,0.05927475592747561
可能否,0.1676829268292683,0.12195121951219512,0.045731707317073184
因为遇见你,0.08333333333333333,0.09259259259259259,-0.009259259259259259
国王与乞丐,0.17261904761904762,0.1130952380952381,0.05952380952380952
在希望的田野上,0.34806629834254144,0.3149171270718232,0.03314917127071826
夜空里最亮的星,0.09764309764309764,0.05387205387205387,0.04377104377104377
天空之城,0.1288135593220339,0.15593220338983052,-0.027118644067796627
宝贝,0.23529411764705882,0.1588235294117647,0.07647058823529412
宿敌,0.2834890965732087,0.27414330218068533,0.009345794392523366
忘记时间,0.12639405204460966,0.06319702602230483,0.06319702602230483
拥有,0.15254237288135594,0.11581920903954802,0.03672316384180792
故梦,0.29085872576177285,0.27146814404432135,0.019390581717451505
晚婚,0.12794268167860798,0.10747185261003071,0.020470829068577265
永不失联的爱,0.09468085106382979,0.10319148936170212,-0.008510638297872339
爱情转移,0.14001591089896578,0.13126491646778043,0.00875099443118535
玫瑰三愿,0.35135135135135137,0.3277027027027027,0.023648648648648685
稳稳的幸福,0.08858603066439523,0.05792163543441227,0.03066439522998296
稻香,0.125193199381762,0.09273570324574962,0.03245749613601237
童话,0.03293413173652695,0.02694610778443114,0.0059880239520958105
美错,0.16568047337278108,0.13313609467455623,0.03254437869822485
聪明累,0.5913978494623656,0.532258064516129,0.05913978494623662
菩萨蛮,0.6355140186915887,0.5327102803738317,0.10280373831775702
袖手旁观,0.06949152542372881,0.04067796610169491,0.028813559322033902
解脱,0.20149253731343283,0.1791044776119403,0.022388059701492546
说散就散,0.11938872970391595,0.10506208213944604,0.014326647564469913
越过山丘,0.11838790931989925,0.11083123425692695,0.007556675062972293
身骑白马,0.371875,0.31875,0.05312500000000003
闷,0.12389380530973451,0.11504424778761062,0.008849557522123894
阿拉斯加海湾,0.10244648318042814,0.06422018348623854,0.0382262996941896
风吹麦浪,0.1565217391304348,0.09565217391304348,0.060869565217391314
